,ID,Age,Gender,Caffeine consumption,Alcohol consumption,Smoking status,Exercise frequency
0,1,65,Female,0.0,0.0,Yes,3.0
1,2,69,Male,0.0,3.0,Yes,3.0
2,3,40,Female,0.0,0.0,No,3.0
3,4,40,Female,50.0,5.0,Yes,1.0
4,5,57,Male,0.0,3.0,No,3.0
5,6,36,Female,,0.0,No,1.0
6,7,27,Female,50.0,0.0,Yes,1.0
7,8,53,Male,50.0,0.0,Yes,3.0
8,9,41,Female,50.0,0.0,No,1.0
9,10,11,Female,0.0,0.0,No,0.0
10,11,50,Male,50.0,0.0,Yes,3.0
11,12,55,Male,0.0,0.0,No,3.0
12,13,30,Female,50.0,0.0,No,1.0
13,14,28,Male,0.0,0.0,No,3.0
14,15,36,Female,25.0,1.0,Yes,0.0
15,16,32,Female,50.0,2.0,No,5.0
16,17,21,Female,0.0,2.0,Yes,0.0
17,18,40,Female,50.0,2.0,Yes,3.0
18,19,43,Female,25.0,1.0,No,0.0
19,20,52,Male,50.0,0.0,Yes,3.0
20,21,24,Male,0.0,,No,2.0
21,22,32,Male,50.0,4.0,No,1.0
22,23,29,Female,75.0,0.0,No,2.0
23,24,63,Female,50.0,0.0,No,1.0
24,25,24,Male,,5.0,No,2.0
25,26,52,Male,0.0,0.0,No,2.0
26,27,36,Female,,0.0,No,1.0
27,28,35,Male,0.0,0.0,Yes,2.0
28,29,23,Male,0.0,0.0,No,3.0
29,30,47,Female,0.0,3.0,No,4.0
30,31,24,Male,0.0,1.0,Yes,3.0
31,32,18,Male,25.0,0.0,No,0.0
32,33,26,Male,0.0,4.0,Yes,0.0
33,34,37,Female,25.0,1.0,Yes,
34,35,46,Female,0.0,0.0,No,3.0
35,36,61,Female,50.0,3.0,No,0.0
36,37,38,Male,0.0,0.0,Yes,3.0
37,38,20,Female,,0.0,No,1.0
38,39,28,Female,50.0,0.0,Yes,1.0
39,40,58,Female,50.0,3.0,No,0.0
40,41,46,Male,0.0,0.0,No,0.0
41,42,52,Male,25.0,0.0,Yes,1.0
42,43,29,Female,50.0,0.0,Yes,1.0
43,44,31,Female,50.0,0.0,No,1.0
44,45,34,Female,25.0,1.0,No,0.0
45,46,40,Female,50.0,0.0,No,1.0
46,47,55,Male,0.0,0.0,No,0.0
47,48,27,Female,50.0,1.0,Yes,1.0
48,49,21,Female,0.0,0.0,No,0.0
49,50,37,Female,0.0,5.0,No,4.0
50,51,29,Female,25.0,0.0,No,2.0
51,52,65,Male,50.0,2.0,No,3.0
52,53,9,Female,0.0,0.0,No,0.0
53,54,16,Female,0.0,0.0,No,0.0
54,55,18,Male,0.0,0.0,No,3.0
55,56,37,Male,0.0,0.0,No,3.0
56,57,54,Male,0.0,3.0,No,3.0
57,58,43,Male,,0.0,Yes,3.0
58,59,34,Female,50.0,0.0,No,1.0
59,60,34,Female,50.0,0.0,No,1.0
60,61,32,Female,,0.0,No,1.0
61,62,56,Male,0.0,0.0,No,4.0
62,63,29,Male,200.0,0.0,No,
63,64,35,Female,,0.0,No,1.0
64,65,30,Male,,0.0,No,3.0
65,66,21,Male,0.0,3.0,No,3.0
66,67,25,Male,0.0,4.0,No,2.0
67,68,52,Male,25.0,2.0,No,1.0
68,69,46,Male,0.0,0.0,No,0.0
69,70,40,Male,0.0,2.0,Yes,3.0
70,71,30,Female,50.0,3.0,Yes,1.0
71,72,32,Female,50.0,2.0,No,4.0
72,73,55,Male,0.0,4.0,Yes,3.0
73,74,58,Male,25.0,0.0,Yes,2.0
74,75,47,Male,0.0,0.0,No,0.0
75,76,44,Male,0.0,,Yes,1.0
76,77,47,Female,0.0,0.0,No,3.0
77,78,46,Male,0.0,5.0,Yes,3.0
78,79,43,Male,0.0,0.0,No,3.0
79,80,54,Male,0.0,0.0,Yes,2.0
80,81,55,Male,25.0,0.0,Yes,1.0
81,82,29,Male,200.0,0.0,No,2.0
82,83,66,Male,0.0,0.0,Yes,3.0
83,84,40,Female,25.0,0.0,No,3.0
84,85,50,Male,0.0,3.0,No,0.0
85,86,53,Male,75.0,0.0,No,2.0
86,87,50,Male,0.0,0.0,No,0.0
87,88,50,Male,0.0,3.0,No,0.0
88,89,48,Male,0.0,0.0,Yes,3.0
